XJY-604,250385-231C,20/10/2021 12:14,34500,35500,135.00   
AJB-123,010896-3173,2021-12-02 16:59:00,45000,50000,205.0
BKV-943,010896-4562,2021-12-02 17:02:00,68750,70000,87.5
AJB-123,010896-345,2021-12-02 17:04:00,75000,78000,155.0
BKV-943,010896-567,2021-12-02 17:06:00,85000,88000,151.25
AJB-123,010896-654,2021-12-02 17:12:00,54000,55000,105.0
GHI-723,010896-345,2021-12-02 17:14:00,76000,79000,115.0
DRT-503,010896-765,2021-12-02 17:19:00,89000,91000,148.125
AJB-123,09765-234,02/12/2021 17:48,987500,990000,142.5
AJB-123,988000,02/12/2021 17:59,987500,988000,92.5
DRT-503,010896-456,02/12/2021 18:03,234000,235000,123.125
DRT-503,010897-456,02/12/2021 18:03,234000,233000,73.125
DRT-503,0998,02/12/2021 18:12,234000,235000,123.125
DRT-503,34,02/12/2021 18:14,234000,237000,173.125
AJB-123,344,02/12/2021 18:22,125000,126000,105.0
AJB-123,23344,02/12/2021 18:24,123000,128000,205.0
AJB-123,344,02/12/2021 18:27,128000,129000,105.0
BKV-943,010897-456,03/12/2021 10:00,75000,95000,576.25
DRT-503,01098-45,03/12/2021 10:13,90000,100000,348.125
BKV-943,0109,03/12/2021 10:38,75000,125000,1326.25
